expression,template_type,error
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"rank((ts_rank((eps / (1 + operating_margin)), 60) - ts_rank(operating_margin, 60)))",quality_value,Simulation failed with status: error
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(eps, 60) - ts_rank((ts_rank(close, 20) - ts_rank(close, 60)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank(((vwap - ts_mean(vwap, 60)) / (1 + (ts_max(vwap, 60) - ts_min(vwap, 60)))))",range_reversion,high-structural-overlap
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(eps, 60) - ts_rank((ts_rank(close, 20) - ts_rank(close, 60)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"rank((ts_rank(sales, 10) - ts_rank(eps, 10)))",fundamental_cross,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"ts_rank((ts_rank(close, 10) - ts_rank(close, 120)), 10)",momentum,exact-fingerprint-match
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(eps, 60) - ts_rank((ts_rank(close, 20) - ts_rank(close, 60)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_delta(returns, 120)))",acceleration,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"zscore((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,high-structural-overlap
"rank((ts_rank(book_value, 120) - ts_rank(sales, 120)))",fundamental_cross,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore(((close - ts_mean(close, 10)) / (1 + (ts_max(close, 10) - ts_min(close, 10)))))",range_reversion,Simulation failed with status: error
"rank(((close - ts_min(close, 120)) / (1 + (ts_max(close, 120) - ts_min(close, 120)))))",breakout,Simulation failed with status: error
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_delta(returns, 120)))",acceleration,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_delta(returns, 120)))",acceleration,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"rank((ts_rank(vwap, 60) - ts_rank(vwap, 120)))",momentum,high-structural-overlap
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"rank((ts_rank((sales / (1 + eps)), 60) - ts_rank((eps / (1 + sales)), 60)))",quality_efficiency,exact-fingerprint-match
"zscore(group_neutralize(((vwap - ts_mean(vwap, 5)) / (1 + ts_rank(adv60, 5))), subindustry))",liquidity_reversal,Simulation failed with status: error
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_delta(returns, 120)))",acceleration,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"ts_rank(((operating_margin - ts_mean(operating_margin, 60)) / (1 + ts_std_dev(operating_margin, 60))), 60)",volatility_reversion,Simulation failed with status: error
"zscore((ts_rank(operating_margin, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,Simulation failed with status: error
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_delta(returns, 120)))",acceleration,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank(((vwap - ts_mean(vwap, 60)) / (1 + (ts_max(vwap, 60) - ts_min(vwap, 60)))))",range_reversion,high-structural-overlap
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 120)) / (1 + ts_std_dev(returns, 120))), 120)",volatility_reversion,exact-fingerprint-match
"ts_decay_linear((ts_delta(vwap, 60) - ts_decay_linear(ts_delta(volume, 60), 5)), 60)",price_volume_divergence,Simulation 4DUEhec774HvaZyMfSdKbXU timed out
"ts_decay_linear((ts_delta(vwap, 20) - ts_decay_linear(ts_delta(volume, 20), 10)), 20)",price_volume_divergence,Simulation 1lpADs79U5cu9EiSlOoMTH4 timed out
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_delta(returns, 120)))",acceleration,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank(((returns - ts_mean(returns, 10)) / (1 + ts_std_dev(returns, 10))))",volatility_reversion,high-structural-overlap
"ts_rank(((vwap - ts_min(vwap, 120)) / (1 + (ts_max(vwap, 120) - ts_min(vwap, 120)))), 120)",breakout,exact-fingerprint-match
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_delta(returns, 120)))",acceleration,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)))",momentum,high-structural-overlap
"rank((ts_rank(returns, 10) - ts_rank(returns, 60)))",momentum,high-structural-overlap
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank((book_value / (1 + cashflow)), 120) - ts_rank(cashflow, 120)))",quality_value,Simulation failed with status: error
"ts_rank((ts_rank(operating_margin, 120) - ts_rank((ts_rank(returns, 120) - ts_rank(returns, 120)), 120)), 120)",fundamental_momentum_spread,identity-subtraction
"rank(((low - ts_min(low, 20)) / (1 + (ts_max(low, 20) - ts_min(low, 20)))))",breakout,Simulation failed with status: error
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_delta(returns, 120)))",acceleration,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"ts_rank((ts_rank(returns, 10) - ts_rank(returns, 120)), 10)",momentum,high-structural-overlap
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_delta(returns, 120)))",acceleration,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(vwap, 120) - ts_rank(vwap, 120)))",momentum,identity-subtraction
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"zscore((ts_rank(returns, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_delta(returns, 120)))",acceleration,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_rank(vwap, 10) - ts_rank(vwap, 120)))",momentum,exact-fingerprint-match
"zscore((ts_rank((book_value / (1 + vwap)), 20) - ts_rank(vwap, 20)))",quality_value,Simulation failed with status: error
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_delta(returns, 120)))",acceleration,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_delta(returns, 120) - ts_delta(returns, 20)))",acceleration,high-structural-overlap
"rank(((returns - ts_min(returns, 60)) / (1 + (ts_max(returns, 60) - ts_min(returns, 60)))))",breakout,Simulation failed with status: error
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"ts_rank(((returns - ts_mean(returns, 60)) / (1 + ts_std_dev(returns, 60))), 60)",volatility_reversion,exact-fingerprint-match
"ts_rank(((low - ts_min(low, 120)) / (1 + (ts_max(low, 120) - ts_min(low, 120)))), 120)",breakout,high-structural-overlap
"rank(((close - ts_min(close, 20)) / (1 + (ts_max(close, 20) - ts_min(close, 20)))))",breakout,high-structural-overlap
"ts_decay_linear((ts_delta(vwap, 5) - ts_decay_linear(ts_delta(adv20, 5), 3)), 5)",price_volume_divergence,Simulation 1fDWPk4DX4K2c8a5rCe3vZ9 timed out
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_delta(returns, 120)))",acceleration,exact-fingerprint-match
"rank((ts_rank(returns, 10) - ts_rank(returns, 120)))",momentum,exact-fingerprint-match
"rank((ts_delta(vwap, 10) - ts_delta(vwap, 20)))",acceleration,exact-fingerprint-match
"rank((ts_rank(vwap, 10) - ts_rank(vwap, 120)))",momentum,exact-fingerprint-match
"zscore((ts_rank(eps, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))",fundamental_momentum_spread,exact-fingerprint-match
"rank((ts_delta(returns, 60) - ts_delta(returns, 120)))",acceleration,exact-fingerprint-match
