expression,template_type,status,stage,universe,checks_failed,behavior_similarity,sharpe,fitness,returns,drawdown,turnover,margin,reward
"ts_rank((ts_rank(vwap, 20) - ts_rank((ts_rank(volume, 60) - ts_rank(volume, 20)), 60)), 60)",fundamental_momentum_spread,complete,IS,TOP3000,0,0.905952254098115,-1.06,-0.35,-0.068,0.3743,0.6192,-0.00022,-0.562169
"rank((ts_rank(close, 60) - ts_rank((ts_rank(adv20, 10) - ts_rank(adv20, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9283307476830874,-0.77,-0.28,-0.0596,0.3246,0.4472,-0.000266,-1.4275060000000002
"rank((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)))",price_volume_divergence,complete,IS,TOP3000,0,0.8305804687812117,0.78,0.63,0.0825,0.1453,0.1062,0.001553,0.645741
"ts_rank(((close - ts_mean(close, 5)) / (1 + ts_std_dev(close, 5))), 5)",volatility_reversion,complete,IS,TOP3000,0,0.9282444277700126,-1.35,-0.42,-0.1018,0.5538,1.0723,-0.00019,-1.702758
"ts_rank((ts_delta(returns, 120) - ts_delta(returns, 60)), 120)",acceleration,complete,IS,TOP3000,0,0.9641084879763208,-0.62,-0.11,-0.0416,0.25,1.3957,-6e-05,-1.268328
"rank(((cashflow - ts_mean(cashflow, 10)) / (1 + ts_std_dev(cashflow, 10))))",volatility_reversion,complete,IS,TOP3000,0,0.877203965366682,-0.41,-0.14,-0.0404,0.4741,0.3468,-0.000233,-0.231455
"zscore(((returns - ts_mean(returns, 5)) / (1 + ts_std_dev(returns, 5))))",volatility_reversion,complete,IS,TOP3000,0,0.9297310568648871,-0.5,-0.11,-0.066,0.4675,1.4499,-9.1e-05,-1.240805
"ts_rank((ts_delta(close, 120) - ts_delta(close, 60)), 120)",acceleration,complete,IS,TOP3000,0,0.9776410358656394,0.22,0.05,0.0148,0.1122,0.2475,0.000119,-0.903682
"ts_decay_linear(((close - ts_mean(close, 10)) / (1 + ts_std_dev(close, 10))), 10)",volatility_reversion,complete,IS,TOP3000,0,0.8719274958466215,-1.16,-0.84,-0.1211,0.6387,0.2333,-0.001038,-0.922849
"ts_decay_linear((ts_delta(returns, 5) - ts_decay_linear(ts_delta(vwap, 5), 3)), 5)",price_volume_divergence,complete,IS,TOP3000,0,0.8603569934209768,1.15,0.7,0.1197,0.0898,0.3262,0.000734,0.8068819999999999
"ts_decay_linear((ts_delta(close, 60) - ts_decay_linear(ts_delta(vwap, 60), 3)), 60)",price_volume_divergence,complete,IS,TOP3000,0,0.885443703047919,-0.9,-0.59,-0.0774,0.4012,0.1815,-0.000853,-0.671728
"zscore((ts_delta(vwap, 20) - ts_delta(vwap, 40)))",acceleration,complete,IS,TOP3000,0,0.9972294681771641,-0.06,-0.01,-0.0059,0.2399,0.272,-4.3e-05,-1.0321690000000001
"rank((ts_delta(returns, 60) - ts_delta(returns, 20)))",acceleration,complete,IS,TOP3000,0,0.9322528028619934,-0.0,-0.0,-0.0,0.188,1.3384,-0.0,-1.00564
"zscore((ts_delta(returns, 60) - ts_decay_linear(ts_delta(vwap, 60), 10)))",price_volume_divergence,complete,IS,TOP3000,0,0.9311475503659573,0.28,0.13,0.0287,0.2301,0.0711,0.000808,-0.8361069999999999
"rank((ts_rank(close, 60) - ts_rank((ts_rank(sales, 10) - ts_rank(sales, 60)), 10)))",fundamental_momentum_spread,complete,IS,TOP3000,0,0.9353612209929595,-0.94,-0.5,-0.0606,0.3333,0.2123,-0.000571,-1.621847
