2026-03-20 15:48:07,045 | INFO | events | preparing template=volatility_reversion expression=ts_rank(((operating_margin - ts_mean(operating_margin, 60)) / (1 + ts_std_dev(operating_margin, 60))), 60)
2026-03-20 15:48:08,925 | INFO | events | preparing template=fundamental_momentum_spread expression=zscore((ts_rank(operating_margin, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))
2026-03-20 15:48:16,255 | INFO | events | preparing template=volatility_reversion expression=ts_rank(((returns - ts_mean(returns, 120)) / (1 + ts_std_dev(returns, 120))), 120)
2026-03-20 15:49:42,749 | INFO | events | completed alpha_id=213 status=complete sharpe=-1.5900 fitness=-0.4900
2026-03-20 15:49:47,988 | INFO | events | preparing template=price_volume_divergence expression=ts_decay_linear((ts_delta(vwap, 60) - ts_decay_linear(ts_delta(volume, 60), 5)), 60)
2026-03-20 16:00:22,388 | INFO | events | preparing template=price_volume_divergence expression=ts_decay_linear((ts_delta(vwap, 20) - ts_decay_linear(ts_delta(volume, 20), 10)), 20)
2026-03-20 16:11:07,521 | INFO | events | preparing template=quality_value expression=zscore((ts_rank((book_value / (1 + cashflow)), 120) - ts_rank(cashflow, 120)))
2026-03-20 16:11:09,113 | INFO | events | preparing template=breakout expression=rank(((low - ts_min(low, 20)) / (1 + (ts_max(low, 20) - ts_min(low, 20)))))
2026-03-20 16:11:11,547 | INFO | events | preparing template=quality_value expression=zscore((ts_rank((returns / (1 + sales)), 60) - ts_rank(sales, 60)))
2026-03-20 16:14:11,462 | INFO | events | completed alpha_id=237 status=complete sharpe=-1.5200 fitness=-0.4900
2026-03-20 16:14:11,712 | INFO | events | preparing template=fundamental_momentum_spread expression=zscore((ts_rank(returns, 120) - ts_rank((ts_rank(vwap, 20) - ts_rank(vwap, 120)), 20)))
2026-03-20 16:15:53,780 | INFO | events | completed alpha_id=242 status=complete sharpe=-0.6900 fitness=-0.1500
2026-03-20 16:15:59,081 | INFO | events | preparing template=acceleration expression=ts_rank((ts_delta(close, 20) - ts_delta(close, 40)), 20)
2026-03-20 16:17:14,512 | INFO | events | completed alpha_id=247 status=complete sharpe=0.2200 fitness=0.0400
2026-03-20 16:17:14,537 | INFO | events | preparing template=quality_efficiency expression=ts_rank((ts_rank((cashflow / (1 + sales)), 60) - ts_rank((sales / (1 + cashflow)), 60)), 60)
2026-03-20 16:18:30,857 | INFO | events | completed alpha_id=248 status=complete sharpe=0.0200 fitness=0.0000
2026-03-20 16:18:31,103 | INFO | events | preparing template=quality_value expression=zscore((ts_rank((book_value / (1 + vwap)), 20) - ts_rank(vwap, 20)))
2026-03-20 16:18:33,001 | INFO | events | preparing template=breakout expression=rank(((returns - ts_min(returns, 60)) / (1 + (ts_max(returns, 60) - ts_min(returns, 60)))))
2026-03-20 16:18:40,108 | INFO | events | preparing template=price_volume_divergence expression=ts_decay_linear((ts_delta(vwap, 5) - ts_decay_linear(ts_delta(adv20, 5), 3)), 5)
2026-03-20 16:29:18,093 | INFO | events | preparing template=acceleration expression=ts_rank((ts_delta(returns, 20) - ts_delta(returns, 120)), 20)
2026-03-20 16:31:16,767 | INFO | events | completed alpha_id=273 status=complete sharpe=0.4700 fitness=0.0700
2026-03-20 16:31:22,350 | INFO | events | preparing template=liquidity_reversal expression=zscore(group_neutralize(((vwap - ts_mean(vwap, 20)) / (1 + ts_rank(adv20, 20))), subindustry))
2026-03-20 16:32:54,185 | INFO | events | completed alpha_id=277 status=complete sharpe=-1.0500 fitness=-0.5300
2026-03-20 16:32:54,209 | INFO | events | preparing template=quality_efficiency expression=zscore((ts_rank((cashflow / (1 + sales)), 120) - ts_rank((sales / (1 + cashflow)), 120)))
2026-03-20 16:34:15,670 | INFO | events | completed alpha_id=278 status=complete sharpe=0.6200 fitness=0.2000
2026-03-20 16:34:21,412 | INFO | events | preparing template=range_reversion expression=zscore(((vwap - ts_mean(vwap, 20)) / (1 + (ts_max(vwap, 20) - ts_min(vwap, 20)))))
2026-03-20 16:34:22,683 | INFO | events | preparing template=volume_confirmed_breakout expression=rank((((high - ts_max(high, 40)) / (1 + ts_std_dev(high, 40))) * ts_rank(adv20, 40)))
2026-03-20 16:34:25,082 | INFO | events | preparing template=volatility_reversion expression=ts_rank(((vwap - ts_mean(vwap, 120)) / (1 + ts_std_dev(vwap, 120))), 120)
2026-03-20 16:35:41,618 | INFO | events | completed alpha_id=302 status=complete sharpe=-0.9700 fitness=-0.6000
2026-03-20 16:35:47,145 | INFO | events | preparing template=breakout expression=rank(((vwap - ts_min(vwap, 10)) / (1 + (ts_max(vwap, 10) - ts_min(vwap, 10)))))
2026-03-20 16:35:59,721 | INFO | events | preparing template=fundamental_momentum_spread expression=rank((ts_rank(operating_margin, 120) - ts_rank((ts_rank(close, 60) - ts_rank(close, 120)), 60)))
2026-03-20 16:36:00,994 | INFO | events | preparing template=acceleration expression=ts_rank((ts_delta(vwap, 5) - ts_delta(vwap, 10)), 5)
2026-03-20 16:37:28,403 | INFO | events | completed alpha_id=337 status=complete sharpe=0.0600 fitness=0.0000
2026-03-20 16:37:34,211 | INFO | events | preparing template=fundamental_momentum_spread expression=rank((ts_rank(cashflow, 120) - ts_rank((ts_rank(close, 10) - ts_rank(close, 120)), 10)))
2026-03-20 16:38:55,738 | INFO | events | completed alpha_id=352 status=complete sharpe=1.5100 fitness=0.5200
2026-03-20 16:38:56,046 | INFO | events | preparing template=volatility_reversion expression=rank(((vwap - ts_mean(vwap, 60)) / (1 + ts_std_dev(vwap, 60))))
2026-03-20 16:40:23,728 | INFO | events | completed alpha_id=358 status=complete sharpe=-0.9700 fitness=-0.7300
2026-03-20 16:40:23,939 | INFO | events | preparing template=volatility_reversion expression=ts_rank(((close - ts_mean(close, 60)) / (1 + ts_std_dev(close, 60))), 60)
2026-03-20 16:41:55,939 | INFO | events | completed alpha_id=362 status=complete sharpe=-1.0100 fitness=-0.5300
2026-03-20 16:42:01,632 | INFO | events | preparing template=volume_confirmed_breakout expression=rank((((low - ts_max(low, 20)) / (1 + ts_std_dev(low, 20))) * ts_rank(adv20, 20)))
2026-03-20 16:42:03,081 | INFO | events | preparing template=acceleration expression=zscore((ts_delta(returns, 10) - ts_delta(returns, 20)))
2026-03-20 16:43:19,677 | INFO | events | completed alpha_id=368 status=complete sharpe=-0.4900 fitness=-0.0900
2026-03-20 16:43:19,855 | INFO | events | preparing template=fundamental_momentum_spread expression=zscore((ts_rank(vwap, 20) - ts_rank((ts_rank(vwap, 10) - ts_rank(vwap, 20)), 10)))
2026-03-20 16:44:51,604 | INFO | events | completed alpha_id=372 status=complete sharpe=-0.4400 fitness=-0.1100
2026-03-20 16:44:51,628 | INFO | events | preparing template=volatility_reversion expression=ts_rank(((eps - ts_mean(eps, 120)) / (1 + ts_std_dev(eps, 120))), 120)
2026-03-20 16:46:28,723 | INFO | events | completed alpha_id=373 status=complete sharpe=0.0300 fitness=0.0000
2026-03-20 16:46:28,992 | INFO | events | preparing template=acceleration expression=rank((ts_delta(eps, 10) - ts_delta(eps, 20)))
2026-03-20 16:47:47,310 | INFO | events | completed alpha_id=378 status=complete sharpe=-0.3100 fitness=-0.0700
2026-03-20 16:47:52,894 | INFO | events | preparing template=acceleration expression=zscore((ts_delta(close, 20) - ts_delta(close, 40)))
2026-03-20 16:49:39,123 | INFO | events | completed alpha_id=388 status=complete sharpe=-0.0800 fitness=-0.0100
2026-03-20 16:49:39,300 | INFO | events | preparing template=price_volume_divergence expression=rank((ts_delta(close, 10) - ts_decay_linear(ts_delta(volume, 10), 10)))
2026-03-20 17:00:15,238 | INFO | events | preparing template=price_volume_divergence expression=rank((ts_delta(vwap, 20) - ts_decay_linear(ts_delta(volume, 20), 5)))
2026-03-20 17:10:54,368 | INFO | events | preparing template=volume_confirmed_breakout expression=ts_rank((((low - ts_max(low, 20)) / (1 + ts_std_dev(low, 20))) * ts_rank(adv60, 20)), 20)
2026-03-20 17:11:01,306 | INFO | events | preparing template=range_reversion expression=rank(((high - ts_mean(high, 20)) / (1 + (ts_max(high, 20) - ts_min(high, 20)))))
2026-03-20 17:11:13,157 | INFO | events | preparing template=quality_efficiency expression=ts_rank((ts_rank((cashflow / (1 + operating_margin)), 60) - ts_rank((operating_margin / (1 + cashflow)), 60)), 60)
2026-03-20 17:11:20,563 | INFO | events | preparing template=fundamental_momentum_spread expression=rank((ts_rank(vwap, 60) - ts_rank((ts_rank(close, 20) - ts_rank(close, 60)), 20)))
2026-03-20 17:12:54,165 | INFO | events | completed alpha_id=417 status=complete sharpe=0.0000 fitness=0.0000
2026-03-20 17:12:54,195 | INFO | events | preparing template=volatility_reversion expression=rank(((close - ts_mean(close, 60)) / (1 + ts_std_dev(close, 60))))
2026-03-20 17:14:41,622 | INFO | events | completed alpha_id=418 status=complete sharpe=-1.0500 fitness=-0.7800
